epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4699,2.48702,5.90606,1.5636,0.7186,0.33333,0.54449,0.35848,1.7583,6.13598,1.39998,2.304e-05,2.304e-05,2.304e-05
2,57.5694,1.86854,5.40186,1.19024,0.88339,0.33333,0.68406,0.41251,1.94848,6.28808,1.50047,4.54298e-05,4.54298e-05,4.54298e-05
3,84.4616,1.54787,5.12839,1.09868,0.84708,0.5,0.68406,0.36276,2.03092,6.21158,1.57875,6.44403e-05,6.44403e-05,6.44403e-05
4,112.891,1.57154,4.82194,1.09319,0.81769,0.5,0.67255,0.33812,1.9429,5.92142,1.5225,8.00717e-05,8.00717e-05,8.00717e-05
5,141.356,1.46957,4.58548,1.03068,0.6243,0.5,0.67808,0.39174,1.56992,5.54021,1.26328,9.23238e-05,9.23238e-05,9.23238e-05
6,169.922,1.3608,5.03711,1.03982,0.60676,0.66667,0.6865,0.41254,1.4401,5.30532,1.18136,0.000101197,0.000101197,0.000101197
7,197.649,1.35418,4.75986,1.03276,0.43361,0.5,0.61844,0.40837,1.41782,5.19841,1.15851,0.000106691,0.000106691,0.000106691
8,226.047,1.27721,4.4677,1.03034,0.28085,0.66667,0.60117,0.39594,1.433,5.31257,1.15879,0.000108805,0.000108805,0.000108805
9,254.117,1.31812,4.62026,1.01161,0.23631,0.66667,0.62017,0.41063,1.4533,5.32975,1.15678,0.00010754,0.00010754,0.00010754
10,281.4,1.2388,4.27534,1.00756,0.48332,0.35785,0.65545,0.4754,1.34766,5.23915,1.09537,0.000102897,0.000102897,0.000102897
11,309.433,1.22242,4.22974,1.02843,0.48395,0.54809,0.65545,0.49198,1.27523,5.21211,1.07311,8.704e-05,8.704e-05,8.704e-05
12,340.698,1.24863,4.07163,0.99565,0.12011,0.91667,0.62017,0.46452,1.16029,5.16096,1.04433,7.0144e-05,7.0144e-05,7.0144e-05
13,368.192,1.20952,4.03341,0.99606,0.12507,0.91667,0.61605,0.46164,1.1473,5.17536,1.04799,5.3248e-05,5.3248e-05,5.3248e-05
14,395.726,1.1909,3.81576,1.01597,0.11965,0.91667,0.61958,0.48069,1.1099,5.13991,1.02438,3.6352e-05,3.6352e-05,3.6352e-05
15,423.234,1.18858,3.91542,1.01831,0.11996,0.91667,0.53667,0.43094,1.0907,5.15338,1.01579,1.9456e-05,1.9456e-05,1.9456e-05
